src,tgt
And so we should address that. But it's part of the puzzle.,et il faut s'en occuper. Mais ce n'est qu'un morceau du puzzle.
Other transportation efficiency is as important as cars and trucks.,L'efficacité énergétique des autres types de transports pèse aussi lourd que celle des voitures et camions.
"Renewables at the current levels of technological efficiency can make this much difference. And with what Vinod, and John Doerr and others, many of you here -- there are a lot of people directly involved in this -- this wedge is going to grow much more rapidly than the current projection shows it.","Les énergies renouvelables à leur niveau technologique actuel peuvent produire cette baisse, et, avec Vinod, John Doerr et d'autres, dont beaucoup sont là -- et de nombreuses personnes très impliquées -- ce secteur va croître beaucoup plus vite que ne le laisse voir la projection actuelle."
Carbon Capture and Sequestration -- that's what CCS stands for -- is likely to become the killer app that will enable us to continue to use fossil fuels in a way that is safe.,Les pièges à carbone -- c'est ce que CCS veut dire -- sont en passe de devenir l'arme suprême qui nous permettra de continuer à utiliser des combustibles fossiles sans dommage pour la planète.
Not quite there yet.,Nous n'en sommes cependant pas encore là.
"OK. Now, what can you do? Reduce emissions in your home.","OK. Alors, que pouvez-vous faire ? Vous pouvez réduire vos émissions de CO2 dans votre habitation."
Most of these expenditures are also profitable.,La pluspart de ces dépenses vous feront économiser de l'argent.
"Insulation, better design. Buy green electricity where you can.","Isolation, meilleure conception, achetez de l'electricité verte quand vous le pouvez."
I mentioned automobiles -- buy a hybrid.,Je parlais des voitures plus tôt. Achetez un modèle à propulsion hybride.
Use light rail. Figure out some of the other options that are much better. It's important.,Ayez recours à d'autres moyens de transport quand ils sont plus économes. C'est important.
"Be a green consumer. You have choices with everything you buy, between things that have a harsh effect, or a much less harsh effect on the global climate crisis.","Soyez un consommateur écologique. Pour chaque chose que vous achetez, vous pouvez choisir entre des objets à fort impact sur l'environnement et d'autres dont l'effet est beaucoup plus limité."
Consider this: Make a decision to live a carbon-neutral life.,"Pensez à çà : Prenez la décision de mener une vie à ""empreinte carbone nulle"""
"Those of you who are good at branding, I'd love to get your advice and help on how to say this in a way that connects with the most people.","Ceux d'entre vous qui s'y connaissent en création de marques , j'aimerais beaucoup avoir votre aide pour dire cela d'une manière qui soit la plus parlante possible."
It is easier than you think. It really is.,C'est plus facile que vous ne pensez. Vraiment.
"A lot of us in here have made that decision, and it is really pretty easy.",Beaucoup d'entre nous ici ont déjà pris cette décision et c'est vraiment assez facile.
"It means reduce your carbon dioxide emissions with the full range of choices that you make, and then purchase or acquire offsets for the remainder that you have not completely reduced.","Réduisez vos émissions de CO2 grâce à toute la palette de choix qui s'offre à vous et pour ce que vous n'avez pas pu supprimer, achetez des droits d'émission."
And what it means is elaborated at climatecrisis.net.,"Pour mieux comprendre, allez sur climatecrisis.net"
"There is a carbon calculator. Participant Productions convened -- with my active involvement -- the leading software writers in the world, on this arcane science of carbon calculation, to construct a consumer-friendly carbon calculator.","Il y a un calculateur d'émissions de CO2. De nombreux participants se sont rassemblés, sous mon implication active et les programmateurs les mieux formés au monde sur la science complexe du calcul des émissions de carbone ont permis de mettre au point un calculateur d'émission de carbone utilisable par n'importe qui."
"You can very precisely calculate what your CO2 emissions are, and then you will be given options to reduce.","Vous pouvez calculer de manière très précise le niveau de vos émissions de CO2, après quoi vous sont proposées des solutions pour réduire vos émissions."
"And by the time the movie comes out in May, this will be updated to 2.0, and we will have click-through purchases of offsets. Next, consider making your business carbon-neutral.","Et à la sortie du film en mai, le programme passera en version 2.0 et proposera des liens directs pour acheter des droits d'émission."
"Again, some of us have done that, and it's not as hard as you think. Integrate climate solutions into all of your innovations, whether you are from the technology, or entertainment, or design and architecture community.","Ensuite, réfléchissez à faire de votre emploi une activité à empreinte carbone nulle. Là aussi, certains d'entre nous ont déjà franchi le pas et ce n'est pas aussi dur qu'on ne pense. Intégrez des solutions vertes dans chacune de vos innovations, que vous veniez du monde de la technologie, du spectacle, du design ou de celui de l'architecture."
"Invest sustainably. Majora mentioned this. Listen, if you have invested money with managers who you compensate on the basis of their annual performance, don't ever again complain about quarterly report CEO management.","Investissez dans le développement durable. Majora en a parlé. Si vous confiez de l'argent à des responsables d'entreprises dont la rémunération dépend de la performance annuelle,"
"Over time, people do what you pay them to do.",ne venez pas vous plaindre du fait que l'entreprise soit gérée par trimestre.
"And if they judge how much they're going to get paid on your capital that they've invested, based on the short-term returns, you're going to get short-term decisions.","Au final, les gens font ce pour quoi vous les payez. Et s'ils estiment que la part de leur rémunération liée à votre investissement, sera calculée sur la base de profits à court terme, vous n'obtiendrez que des décisions à court terme."
A lot more to be said about that.,Il y aurait beaucoup plus à dire à ce sujet.
"Become a catalyst of change. Teach others, learn about it, talk about it.","Devenez un catalyseur de changement. Expliquez aux autres, informez-vous, parlez-en autour de vous."
"The movie is a movie version of the slideshow I gave two nights ago, except it's a lot more entertaining. And it comes out in May.","Quand le film sort -- le film est une version filmée de la présentation que j'ai faite il y a deux jours, à part qu'elle est beaucoup plus attrayante. Il sort en mai."
Many of you here have the opportunity to ensure that a lot of people see it.,Beaucoup d'entre vous peuvent faire en sorte que beaucoup de monde le voient.
Consider sending somebody to Nashville. Pick well.,Voyez si vous avez quelqu'un à envoyer à Nashville. Choisissez bien.
"And I am personally going to train people to give this slideshow -- re-purposed, with some of the personal stories obviously replaced with a generic approach, and it's not just the slides, it's what they mean.","Et je me chargerai personnellement de former ces personnes pour qu'à leur tour, elles fassent cette présentation remaniée pour qu'elle puisse être faite par n'importe qui. et -- ce n'est pas tant les diapos que ce qu'elle veulent dire et comment elles sont liées les unes aux autres."
And it's how they link together.,Et je vais donc donner un cours cet été
"And so I'm going to be conducting a course this summer for a group of people that are nominated by different folks to come and then give it en masse, to keep it right on the cutting edge.","à un groupe de personnes choisies pour apprendre et après faire la présentation à leur tour, en masse, auprès de communautés à travers tout le pays. Et nous mettrons la présentation à jour chaque semaine pour qu'elle soit toujours au fait des évènements."
"Working with Larry Lessig, it will be, somewhere in that process, posted with tools and limited-use copyrights, so that young people can remix it and do it in their own way.","En collaboration avec Larry Lessig, elle sera diffusée avec des outils et des droits de reproduction limités pour que les jeunes puissent puiser dedans et la refaire à leur façon."
Where did anybody get the idea that you ought to stay arm's length from politics?,--Applaudissements-- D'où vient cette idée qu'il faut rester à l'écart de la politique ?
"It doesn't mean that if you're a Republican, that I'm trying to convince you to be a Democrat.","Je ne veux pas dire que j'essaie de vous convertir, si vous êtes un Républicain,"
"We need Republicans as well. This used to be a bipartisan issue, and I know that in this group it really is. Become politically active.","en Démocrate. Nous avons aussi besoin des Républicains. Par le passé, ce problème dépassait les clivages politiques et je sais que c'est le cas dans ce groupe. Devenez actifs sur le plan politique."
Make our democracy work the way it's supposed to work.,Faites marcher notre démocratie comme elle devrait marcher.
Support the idea of capping carbon dioxide emissions -- global warming pollution -- and trading it.,Apportez votre soutien à l'idée d'une limitation des émissions de CO2 et des gaz à effet de serre
"Here's why: as long as the United States is out of the world system, it's not a closed system.","ainsi qu'à leur commerce. Voici pourquoi : tant que les USA seront en dehors du système mondial, il ne sera pas global."
"Once it becomes a closed system, with U.S. participation, then everybody who's on a board of directors -- how many people here serve on the board of directors of a corporation?","Une fois que le système est global, avec la participation des USA, alors tout membre d'un conseil d'administration -- combien de personnes ici font partie d'un conseil d'administration ?"
"Once it's a closed system, you will have legal liability if you do not urge your CEO to get the maximum income from reducing and trading the carbon emissions that can be avoided. The market will work to solve this problem -- Help with the mass persuasion campaign that will start this spring.","Une fois que le système est global, vous aurez une responsabilité légale d'inciter votre PDG à maximiser le revenu lié aux réductions d'émissions de CO2 et au commerce de celles qui peuvent être évitées. C'est le marché tout entier qui oeuvrera alors à résoudre ce problème. Contribuez à la campagne de persuasion de masse qui débutera au printemps."
We have to change the minds of the American people.,"Nous devez changer l'état d'esprit du peuple Américain. Parce que à l'heure actuelle,"
"Because presently, the politicians do not have permission to do what needs to be done.",les hommes politiques n'ont pas la permission de faire ce qui doit être fait.
"And in our modern country, the role of logic and reason no longer includes mediating between wealth and power the way it once did.","Dans notre pays, la raison et la logique ne permettent plus d'arbitrer entre la richesse et le pouvoir comme c'était le cas par le passé."
"It's now repetition of short, hot-button, 30-second, 28-second television ads.",Il n'y a plus que la répétition de spots publicitaires de 30 ou 28 secondes.
We have to buy a lot of those ads.,Nous devons acheter beaucoup de ces spots.
"Let's re-brand global warming, as many of you have suggested.",Trouvons une nouvelle marque pour le réchauffement climatique comme bon nombre d'entre vous l'ont suggéré.
"I like ""climate crisis"" instead of ""climate collapse,"" but again, those of you who are good at branding, I need your help on this.","Je préfère crise climatique à effondrement climatique mais je le répète, ceux d'entre vous qui s'y connaissent en branding, j'ai besoin de votre aide."
"Somebody said the test we're facing now, a scientist told me, is whether the combination of an opposable thumb and a neocortex is a viable combination.",Un scientifique m'a dit un jour que le problème que nous avons devant nous revient à savoir si une espèce dotée de pouce opposable et d'une conscience est une combinaison viable.
"That's really true. I said the other night, and I'll repeat now: this is not a political issue.",C'est vraiment çà. Je l'ai dit hier soir et je le répète : ceci n'est pas une question de politique.
"Again, the Republicans here -- this shouldn't be partisan.",Et aux Républicains qui sont ici je dis : ce n'est pas une question de parti.
You have more influence than some of us who are Democrats do.,Vous avez plus d'influence que certains d'entre nous Démocrates n'en ont.
"This is an opportunity. Not just this, but connected to the ideas that are here, to bring more coherence to them.","C'est une opportunité. Pas seulement çà, mais avec les idées présentées ici, d'être plus cohérent entre nous."
We are one.,Nous sommes tous dans le même bateau.
"Thank you very much, I appreciate it.",Merci beaucoup. Merci.
"In terms of invention, I'd like to tell you the tale of one of my favorite projects.","En ce qui concerne les inventions, j'aimerais vous raconter l'histoire de l'un de mes projets préférés."
"I think it's one of the most exciting that I'm working on, but I think it's also the simplest.","Il s'agit sans doute de l'un des plus passionnants sur lesquels je travaille, mais c'est aussi, pour moi, le plus simple."
It's a project that has the potential to make a huge impact around the world.,Ce projet est susceptible d'avoir des répercussions énormes dans le monde entier.
"It addresses one of the biggest health issues on the planet, the number one cause of death in children under five.","Il concerne l'un des principaux problèmes de santé de la planète, la première cause de mortalité chez les enfants âgés de moins de cinq ans,"
Which is ...? Water-borne diseases? Diarrhea? Malnutrition?,qui est... ? les maladies liées à l'eau ? la diarrhée ? la malnutrition ?
No. It's breathing the smoke from indoor cooking fires -- acute respiratory infections caused by this. Can you believe that?,"Non. Il s'agit de l'inhalation des fumées émanant des feux allumés en intérieur pour cuisiner, et des infections respiratoires aiguës qu'ils provoquent. Incroyable, non ?"
I find this shocking and somewhat appalling.,"Pour moi, c'est à la fois choquant et révoltant."
Can't we make cleaner burning cooking fuels?,N'est-il donc pas possible de créer des combustibles plus propres ?
Can't we make better stoves?,Ne pouvons-nous pas fabriquer des poêles de meilleure qualité ?
How is it that this can lead to over two million deaths every year?,Comment ce phénomène peut-il entraîner plus de deux millions de décès par an ?
"I know Bill Joy was talking to you about the wonders of carbon nanotubes, so I'm going to talk to you about the wonders of carbon macro-tubes, which is charcoal.",Je sais que Bill Joy vous a parlé des qualités exceptionnelles des nanotubes de carbone. Je vais donc vous parler
So this is a picture of rural Haiti.,"de l'intérêt exceptionnel des macrotubes de carbone, c'est-à-dire du charbon."
Haiti is now 98 percent deforested.,"Voici une photo de la campagne haïtienne : Haïti est aujourd'hui déforestée à 98 %,"
You'll see scenes like this all over the island.,et vous pourrez voir des paysages comme celui-ci dans toute l'île.
It leads to all sorts of environmental problems and problems that affect people throughout the nation.,"Cela crée des troubles environnementaux variés, et des problèmes qui affectent les habitants dans l'ensemble du pays."
A couple years ago there was severe flooding that led to thousands of deaths -- that's directly attributable to the fact that there are no trees on the hills to stabilize the soil.,"Il y a quelques années, une inondation assez grave a eu lieu et a entraîné des milliers de morts ; elle est directement liée au fait qu'il n'y a pas d'arbres sur les collines pour maintenir la terre."
So the rains come -- they go down the rivers and the flooding happens.,"Et donc, lorsqu'il pleut, les fleuves débordent et provoquent des inondations."
"Now one of the reasons why there are so few trees is this: people need to cook, and they harvest wood and they make charcoal in order to do it.","Le manque d'arbres est lié au fait suivant : les habitants doivent faire la cuisine, donc ils collectent du bois et le transforment en charbon pour cuisiner."
It's not that people are ignorant to the environmental damage.,Ne croyez pas que les habitants ignorent les dommages qu'ils occasionnent :
"They know perfectly well, but they have no other choice.",ils en ont parfaitement conscience mais n'ont pas d'alternative.
"Fossil fuels are not available, and solar energy doesn't cook the way that they like their food prepared.","Les combustibles fossiles ne sont pas disponibles, et cuisiner à l'énergie solaire ne permet pas de préparer les plats comme ils les aiment."
And so this is what they do.,Voici donc ce qu'ils font :
"You'll find families like this who go out into the forest to find a tree, cut it down and make charcoal out of it.","vous verrez des familles comme celle-ci se rendre en forêt pour trouver un arbre, l'abattre et le transformer en charbon."
"So not surprisingly, there's a lot of effort that's been done to look at alternative cooking fuels.",Il n'est donc pas étonnant que beaucoup de travaux aient été menés pour tenter de trouver des combustibles alternatifs pour la cuisine.
"About four years ago, I took a team of students down to Haiti and we worked with Peace Corps volunteers there.","Il y a près de quatre ans, j'ai emmené un groupe d'étudiants à Haïti, et nous avons travaillé avec des bénévoles du Peace Corps."
This is one such volunteer and this is a device that he had built in the village where he worked.,"Voici l'un de ces bénévoles, et voici le dispositif qu'il avait construit dans le village où il travaillait."
And the idea was that you could take waste paper; and make briquettes that could be used for fuel.,"Il reposait sur l'utilisation de vieux papiers, qui étaient compressés et transformés en briquettes susceptibles de servir de combustible."
But this device was very slow.,"Toutefois, ce procédé était très lent."
"So our engineering students went to work on it and with some very simple changes, they were able to triple the throughput of this device.","Les étudiants en ingénierie ont donc travaillé dessus et, grâce à quelques changements très basiques, ils ont réussi à tripler la capacité de ce dispositif."
So you could imagine they were very excited about it.,Vous pouvez donc imaginer leur intérêt pour ce sujet !
And they took the briquettes back to MIT so that they could test them.,"Ils ont alors rapporté les briquettes au MIT afin de les tester,"
And one of the things that they found was they didn't burn.,"et ils ont découvert, entre autres, qu'elles ne brûlaient pas,"
So it was a little discouraging to the students.,ce qui a quelque peu découragé les étudiants.
"And in fact, if you look closely, right here you can see it says, ""US Peace Corps.""","Et, en fait, si vous regardez de plus près juste ici, vous pourrez lire ""U.S. Peace Corps."""
"As it turns out, there actually wasn't any waste paper in this village.","En effet, il s'est avéré qu'il n'y avait pas de vieux papiers dans ce village."
"And while it was a good use of government paperwork for this volunteer to bring it back with him to his village, it was 800 kilometers away.","Et s'il est vrai que pour ce volontaire, ramener de la papereasse du gouvernement au village avec lui était une bonne idée, il fallait quand même parcourir 800 kilomètres."
And so we thought perhaps there might be a better way to come up with an alternative cooking fuel.,Nous avons donc pensé qu'il existait peut-être un meilleur moyen de créer un combustible de cuisine alternatif.
What we wanted to do is we wanted to make a fuel that used something that was readily available on the local level.,"Ce que nous voulions, c'est créer un combustible utilisant des ingrédients facilement accessibles au niveau local."
You see these all over Haiti as well. They're small-scale sugar mills.,"Sur cette photo, on voit de petits moulins à sucre très répandus en Haïti."
"And the waste product from them after you extract the juice from the sugarcane is called ""bagasse.""","Et les déchets de la production, une fois le jus de la canne à sucre extrait, sont appelés ""bagasse""."
It has no other use.,"Ils n'ont aucune autre utilité, aucune valeur nutritionnelle,"
"It has no nutritional value, so they don't feed it to the animals.",et ne sont donc pas utilisés pour nourrir les animaux.
It just sits in a pile near the sugar mill until eventually they burn it.,"Ils sont juste empilés près du moulin à sucre, en attendant d'être brûlés."
"What we wanted to do was we wanted to find a way to harness this waste resource and turn it into a fuel that would be something that people could easily cook with, something like charcoal.","Ce que nous voulions, c'était trouver un moyen d'exploiter ces déchets et de les transformer en un combustible avec lequel les habitants pourraient facilement cuisiner, comme le charbon."
"So over the next couple of years, students and I worked to develop a process.","Durant les années suivantes, j'ai donc travaillé avec les étudiants pour créer ce procédé."
"So you start with the bagasse, and then you take a very simple kiln that you can make out of a waste fifty five-gallon oil drum.","On prend la bagasse, et on la place dans un simple four qui peut être fabriqué à partir d'un baril de pétrole vide de 210 litres."
"After some time, after setting it on fire, you seal it to restrict the oxygen that goes into the kiln, and then you end up with this carbonized material here.","Au bout d'un moment, après y avoir mis le feu, on le ferme hermétiquement afin de limiter la quantité d'oxygène pénétrant dans le four,"
"However, you can't burn this.",et on finit par obtenir de la bagasse calcinée.
It's too fine and it burns too quickly to be useful for cooking.,"Cependant, on ne peut pas la faire brûler parce qu'elle est trop fine,"
So we had to try to find a way to form it into useful briquettes.,et qu'elle se consume trop rapidement pour une utilisation en cuisine.
"And conveniently, one of my students was from Ghana, and he remembered a dish his mom used to make for him called ""kokonte,"" which is a very sticky porridge made out of the cassava root. And so what we did was we looked, and we found that cassava is indeed grown in Haiti, under the name of ""manioc.""","Nous devions donc trouver une solution pour la transformer en briquettes utilisables. Par chance, l'un de mes étudiants était ghanéen, et il s'est souvenu d'un plat nommé ""kokonte"" que lui préparait sa mère, un porridge très épais à base de racine de manioc. Nous avons donc mené des recherches et découvert que le manioc était également cultivé en Haïti,"
"In fact, it's grown all over the world -- yucca, tapioca, manioc, cassava, it's all the same thing -- a very starchy root vegetable.","En réalité, cette racine est cultivée dans le monde entier : yucca, tapioca, cassave, manioc, c'est la même chose, un légume-racine très riche en amidon."
"And you can make a very thick, sticky porridge out of it, which you can use to bind together the charcoal briquettes.","On peut en faire un porridge très épais et collant, qui peut être utilisé comme liant dans les briquettes de charbon."
So we did this. We went down to Haiti.,C'est ce que nous avons fait : nous sommes partis pour Haïti.
"These are the graduates of the first Ecole de Charbon, or Charcoal Institute. And these --  That's right. So I'm actually an instructor at MIT as well as CIT.","Voici les diplômés de la première Ecole de Charbon, ou ""Charcoal Institute"" en anglais. Et ces...  -- voilà. En fait j'enseigne au MIT et au CIT."
And these are the briquettes that we made.,Et voici les briquettes que nous avons fabriquées.
Now I'm going to take you to a different continent. This is India and this is the most commonly used cooking fuel in India. It's cow dung.,"Je vous emmène maintenant sur un autre continent : voici l'Inde, et voici le combustible le plus utilisé en cuisine : la bouse de vache."
"And more than in Haiti, this produces really smoky fires, and this is where you see the health impacts of cooking with cow dung and biomass as a fuel.","Plus encore qu'à Haïti, les feux allumés avec cet élément produisent énormément de fumée, et les répercussions sur la santé sont vraiment manifestes, lorsque la bouse de vache ou la biomasse sont utilisées comme combustible pour cuisiner."
"Kids and women are especially affected by it, because they're the ones who are around the cooking fires.","Les principales victimes sont les enfants et les femmes, parce que ce sont eux qui sont présents autour de ces feux."
"if we could introduce this charcoal-making technology there. Well, unfortunately, they didn't have sugarcane and they didn't have cassava, but that didn't stop us.","Nous avons donc voulu voir si nous pouvions introduire ce procédé de fabrication du charbon en Inde. Malheureusement, ils n'avaient ni canne à sucre"
What we did was we found what were the locally available sources of biomass.,"ni manioc, mais cela ne nous a pas découragé."
And there was wheat straw and there was rice straw in this area.,Nous avons donc cherché à connaître les ressources locales en termes de biomasse.
"And what we could use as a binder was actually small amounts of cow manure, which they used ordinarily for their fuel.","Dans cette zone, on trouvait de la paille de blé et de la paille de riz. Comme liant, nous avons pensé utiliser"
